hyperlinks,vehicle_description,Brand,Model,comment,model_year,classes,low_level,high_level
https://eg.hatla2ee.com/en/new-car/audi/RS-e-Tron,Audi-RS-e-Tron-2024,audi,rs-e-tron,,2024,1 Classes,"7,900,000", 
https://eg.hatla2ee.com/en/new-car/toyota/prado,Toyota-Prado-2024,toyota,prado,,2024,1 Classes,"8,580,000", 
https://eg.hatla2ee.com/en/new-car/toyota/land-cruiser,Toyota-Land-Cruiser-2025,toyota,land-cruiser,,2025,2 Classes,"9,000,000","10,700,000"
https://eg.hatla2ee.com/en/new-car/bmw/X6-M,BMW-X6-M-2024,bmw,x6-m,,2024,1 Classes,"9,000,000", 
https://eg.hatla2ee.com/en/new-car/audi/a8,Audi-A8-2025,audi,a8,,2025,1 Classes,"9,350,000", 
https://eg.hatla2ee.com/en/new-car/bmw/8-series,BMW-8-Series-2024,bmw,8-series,,2024,2 Classes,"9,400,000","9,650,000"
https://eg.hatla2ee.com/en/new-car/bmw/BMW-X7,BMW-X7-2024,bmw,x7,,2024,1 Classes,"9,700,000", 
https://eg.hatla2ee.com/en/new-car/bmw/7-series,BMW-7-Series-2024,bmw,7-series,,2024,3 Classes,"9,900,000","12,500,000"
https://eg.hatla2ee.com/en/new-car/bmw/BMW-X7,BMW-X7-2025,bmw,x7,,2025,1 Classes,"10,200,000", 
https://eg.hatla2ee.com/en/new-car/porsche/panamera,Porsche-Panamera-2025,porsche,panamera,,2025,8 Classes,"10,216,500","21,388,500"
https://eg.hatla2ee.com/en/new-car/porsche/911,Porsche-911-2025,porsche,911,,2025,8 Classes,"10,422,300","15,782,900"
https://eg.hatla2ee.com/en/new-car/bmw/7-series,BMW-7-Series-2025,bmw,7-series,,2025,3 Classes,"11,000,000","13,400,000"
https://eg.hatla2ee.com/en/new-car/maserati/granturismo,Maserati-GranTurismo-2024,maserati,granturismo,,2024,2 Classes,"14,000,000","16,500,000"
